yil,ay,sicaklik_C,yagis_mm
2021,7,26.553009,2.406549349427223
2021,8,26.696503,2.897488921880722
2021,9,21.202179,7.2784124314785
2021,10,15.403839,54.28633403778076
2021,11,13.17276,68.15507411956787
2021,12,9.571808,160.46630668640137
2022,1,6.0576477,64.31949520111084
2022,2,7.622467,134.58321380615234
2022,3,6.022003,44.9283607006073
2022,4,13.415741,55.32644033432007
2022,5,18.457916,20.978087902069092
2022,6,23.159882,39.90893483161926
2022,7,25.00174,5.6385543048381805
2022,8,25.741913,50.72353255748749
2022,9,21.38565,6.328495591878891
2022,10,16.913422,4.78669998049736
2022,11,14.303986,26.97615623474121
2022,12,10.87381,34.113067984580994
2023,1,9.153107,27.32019752264023
2023,2,7.2955627,6.680504202842712
2023,3,10.284271,37.14841616153717
2023,4,13.024933,50.74903964996338
2023,5,16.637177,21.350212454795837
2023,6,21.831207,26.040378212928772
2023,7,27.219086,1.60654953494668
2023,8,26.417389,2.3672614619135857
2023,9,22.879364,27.077722549438477
2023,10,19.06192,2.360248349606991
2023,11,15.249298,94.20236349105835
2023,12,11.323151,57.679150462150574
2024,1,8.089142,55.46594858169556
2024,2,10.473419,15.672634482383728
2024,3,11.2621155,64.60554814338684
2024,4,16.319305,58.108073472976685
2024,5,17.210358,34.60841119289398
2024,6,25.372772,1.6848981007933617
2024,7,27.461334,18.510486781597137
2024,8,26.525848,8.524214893579483
2024,9,22.772736,41.51819944381714
2024,10,17.538116,10.080345153808594
2024,11,11.473175,43.637473583221436
2024,12,9.295319,153.23200464248657
2025,1,9.252838,59.12390148639679
2025,2,5.1736145,31.351972579956055
2025,3,11.889923,36.33525729179382
2025,4,12.299652,56.49653434753418
2025,5,18.139496,44.85375618934631
2025,6,24.261261,0.47201212495565414
2025,7,27.351776,2.52993106842041
2025,8,25.29654,1.7386034093797207
2025,9,22.22525,6.306940019130707
2025,10,16.263336,105.99820637702942
2025,11,15.186554,72.06623554229736
2025,12,9.035187,23.860341250896454
